"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2020";"Lichtenvoorde";;;;;;;;;;
"Totaal";"2020";"Liemeer";;;;;;;;;;
"Totaal";"2020";"De Lier";;;;;;;;;;
"Totaal";"2020";"Liesveld";;;;;;;;;;
"Totaal";"2020";"Limmen";;;;;;;;;;
"Totaal";"2020";"Lingewaal";;;;;;;;;;
"Totaal";"2020";"Lingewaard";19606;5367;14239;2769;10093;1328;7469;2587;3204;979
"Totaal";"2020";"Lisse";10227;3398;6829;1265;4832;707;3657;1272;1376;524
"Totaal";"2020";"Lith";;;;;;;;;;
"Totaal";"2020";"Littenseradiel";;;;;;;;;;
"Totaal";"2020";"Lochem";14787;4536;10251;1851;7623;735;5927;1648;1911;765
"Totaal";"2020";"Loenen";;;;;;;;;;
"Totaal";"2020";"Loon op Zand";10127;2998;7129;1442;5016;639;3830;1348;1463;488
"Totaal";"2020";"Loosdrecht";;;;;;;;;;
"Totaal";"2020";"Lopik";5647;1488;4159;743;3050;345;1912;751;974;522
"Totaal";"2020";"Loppersum";4297;1410;2887;561;2048;258;1683;471;488;245
"Totaal";"2020";"Losser";9392;2598;6794;1108;5041;608;3586;1200;1451;557
"Totaal";"2020";"Maarn";;;;;;;;;;
"Totaal";"2020";"Maarssen";;;;;;;;;;
"Totaal";"2020";"Maartensdijk";;;;;;;;;;
"Totaal";"2020";"Maasbracht";;;;;;;;;;
"Totaal";"2020";"Maasbree";;;;;;;;;;
"Totaal";"2020";"Maasdonk";;;;;;;;;;
"Totaal";"2020";"Maasdriel";10591;3206;7385;1513;5182;641;3724;1388;1613;660
"Totaal";"2020";"Maasgouw";10648;3304;7344;1499;5224;580;4368;1298;1339;339
"Totaal";"2020";"Maasland";;;;;;;;;;
"Totaal";"2020";"Maassluis";14982;5158;9824;1615;6951;1183;5320;1918;1845;741
"Totaal";"2020";"Maastricht";68903;37863;31040;7684;19071;3938;19485;5854;4288;1413
"Totaal";"2020";"Margraten";;;;;;;;;;
"Totaal";"2020";"Markelo";;;;;;;;;;
"Totaal";"2020";"De Marne";;;;;;;;;;
"Totaal";"2020";"Marum";;;;;;;;;;
"Totaal";"2020";"Medemblik";19044;5840;13204;2618;9301;1222;6802;2345;2759;1298
"Totaal";"2020";"Meerlo-Wanssum";;;;;;;;;;
"Totaal";"2020";"Meerssen";8493;2607;5886;1056;4252;546;3430;1109;1078;269
"Totaal";"2020";"Meierijstad";34619;10430;24189;4868;16958;2246;12664;4314;5065;2146
"Totaal";"2020";"Meijel";;;;;;;;;;
"Totaal";"2020";"Menaldumadeel";;;;;;;;;;
"Totaal";"2020";"Menameradiel";;;;;;;;;;
"Totaal";"2020";"Menterwolde";;;;;;;;;;
"Totaal";"2020";"Meppel";15424;5657;9767;1846;6639;1223;5329;1687;1981;770
"Totaal";"2020";"Middelburg (Z.)";23052;9340;13712;2329;9593;1720;7703;2489;2393;1127
"Totaal";"2020";"Middelharnis";;;;;;;;;;
"Totaal";"2020";"Midden-Delfland";7832;2088;5744;909;4347;464;2752;1068;1349;575
"Totaal";"2020";"Midden-Drenthe";14485;4384;10101;1829;7385;833;5662;1755;1940;744
"Totaal";"2020";"Midden-Groningen";27754;9620;18134;3661;12161;2196;10268;3449;3268;1149
"Totaal";"2020";"Mierlo";;;;;;;;;;
"Totaal";"2020";"Mill en Sint Hubert";4561;1217;3344;667;2417;238;1787;566;723;268
"Totaal";"2020";"Millingen aan de Rijn";;;;;;;;;;
"Totaal";"2020";"Moerdijk";16337;5014;11323;2151;8043;1074;6220;2127;2198;778
"Totaal";"2020";"Molenlanden";16795;4316;12479;1422;10118;881;5858;2197;2498;1926
"Totaal";"2020";"Molenwaard";;;;;;;;;;
"Totaal";"2020";"Monster";;;;;;;;;;
"Totaal";"2020";"Montferland";15677;4582;11095;2090;7958;968;6078;2149;2159;709
"Totaal";"2020";"Montfoort";5648;1587;4061;760;2925;362;1973;690;936;462
"Totaal";"2020";"Mook en Middelaar";3545;1104;2441;469;1759;201;1426;422;438;155
"Totaal";"2020";"Moordrecht";;;;;;;;;;
"Totaal";"2020";"Muiden";;;;;;;;;;
"Totaal";"2020";"Naaldwijk";;;;;;;;;;
"Totaal";"2020";"Naarden";;;;;;;;;;
"Totaal";"2020";"Neder-Betuwe";9146;2490;6656;719;5353;550;2997;1274;1223;1162
"Totaal";"2020";"Nederhorst den Berg";;;;;;;;;;
"Totaal";"2020";"Nederlek";;;;;;;;;;
"Totaal";"2020";"Nederweert";7308;2057;5251;955;3901;365;2922;873;1083;373
"Totaal";"2020";"Neede";;;;;;;;;;
"Totaal";"2020";"Neerijnen";;;;;;;;;;
"Totaal";"2020";"Niedorp";;;;;;;;;;
"Totaal";"2020";"Nieuwegein";29328;10773;18555;3743;12338;2351;9935;3719;3637;1264
"Totaal";"2020";"Nieuwerkerk aan den IJssel";;;;;;;;;;
"Totaal";"2020";"Nieuwkoop";11808;3252;8556;1662;6166;686;4393;1558;1831;774
"Totaal";"2020";"Nieuw-Lekkerland";;;;;;;;;;
"Totaal";"2020";"Nieuwleusen";;;;;;;;;;
"Totaal";"2020";"Nijefurd";;;;;;;;;;
"Totaal";"2020";"Nijkerk";17448;4976;12472;1763;9673;993;5937;2251;2785;1499
"Totaal";"2020";"Nijmegen";96644;52250;44394;13829;23502;6313;25295;8228;7899;2972
"Totaal";"2020";"Nissewaard";38586;12998;25588;4443;17131;3896;13744;5595;4695;1554
"Totaal";"2020";"Noardeast-Fryslân";19440;6449;12991;2344;9339;1250;6767;2180;2623;1421
"Totaal";"2020";"Noord-Beveland";3588;1341;2247;406;1641;191;1442;344;326;135
"Totaal";"2020";"Noordenveld";13911;4272;9639;1867;6842;898;5635;1637;1756;611
"Totaal";"2020";"Noorder-Koggenland";;;;;;;;;;
"Totaal";"2020";"Noordoostpolder";19422;5963;13459;2312;9813;1260;6846;2382;2652;1579
"Totaal";"2020";"Noordwijk";19680;7303;12377;2614;8320;1375;6576;2414;2399;988
"Totaal";"2020";"Noordwijkerhout";;;;;;;;;;
"Totaal";"2020";"Nootdorp";;;;;;;;;;
"Totaal";"2020";"Nuenen, Gerwen en Nederwetten";10144;2895;7249;1260;5311;645;3998;1265;1479;507
"Totaal";"2020";"Nunspeet";10934;3127;7807;806;6379;579;3816;1391;1423;1177
"Totaal";"2020";"Nuth";;;;;;;;;;
"Totaal";"2020";"Obdam";;;;;;;;;;
"Totaal";"2020";"Oegstgeest";10773;3660;7113;1384;4962;741;3525;1322;1634;632
"Totaal";"2020";"Oirschot";7714;2124;5590;1094;4067;401;2874;963;1199;554
"Totaal";"2020";"Oisterwijk";11257;3501;7756;1573;5416;727;4225;1322;1660;549
"Totaal";"2020";"Oldambt";18111;6737;11374;2092;7852;1369;6676;2174;1921;603
"Totaal";"2020";"Oldebroek";9157;2265;6892;643;5762;449;3280;1253;1435;924
"Totaal";"2020";"Oldenzaal";14035;4756;9279;1765;6525;947;4905;1573;2045;756
"Totaal";"2020";"Olst";;;;;;;;;;
"Totaal";"2020";"Olst-Wijhe";7567;2100;5467;989;4025;420;2891;929;1173;474
"Totaal";"2020";"Ommen";7467;2250;5217;814;3986;382;2734;840;1007;636
"Totaal";"2020";"Onderbanken";;;;;;;;;;
"Totaal";"2020";"Oost Gelre";12428;3665;8763;1968;6114;625;4684;1439;1861;779
"Totaal";"2020";"Oostburg";;;;;;;;;;
"Totaal";"2020";"Oosterhout";25055;8086;16969;3180;11831;1864;9420;3143;3230;1176
"Totaal";"2020";"Oostflakkee";;;;;;;;;;
"Totaal";"2020";"Ooststellingwerf";11255;3700;7555;1402;5316;802;4298;1274;1403;580
"Totaal";"2020";"Oostzaan";4084;1141;2943;556;2057;320;1403;686;675;179
"Totaal";"2020";"Ootmarsum";;;;;;;;;;
"Totaal";"2020";"Opmeer";5018;1566;3452;693;2468;280;1738;623;746;345
"Totaal";"2020";"Opsterland";12582;3863;8719;1669;6226;784;4625;1507;1745;842
"Totaal";"2020";"Oss";40557;13630;26927;5347;18479;2924;13968;5159;5684;2116
"Totaal";"2020";"Oud-Beijerland";;;;;;;;;;
"Totaal";"2020";"Oude IJsselstreek";17079;5384;11695;2198;8426;996;6290;2072;2422;911
"Totaal";"2020";"Ouder-Amstel";6314;2316;3998;884;2558;534;2006;796;865;331
"Totaal";"2020";"Ouderkerk";;;;;;;;;;
"Totaal";"2020";"Oudewater";4265;1307;2958;649;2034;265;1465;540;624;329
"Totaal";"2020";"Overbetuwe";19734;5267;14467;2692;10249;1462;7288;2763;3227;1189
"Totaal";"2020";"Papendrecht";14076;4475;9601;1385;7040;1130;5039;1852;1981;729
"Totaal";"2020";"Peel en Maas";18251;5092;13159;2692;9488;917;7021;2292;2758;1088
"Totaal";"2020";"Pekela";5547;1831;3716;743;2500;460;2115;734;631;236
"Totaal";"2020";"Pijnacker";;;;;;;;;;
"Totaal";"2020";"Pijnacker-Nootdorp";21511;5386;16125;3016;11351;1697;6870;3374;4402;1479
"Totaal";"2020";"Purmerend";36654;12706;23948;4672;15556;3585;12348;5393;4849;1358
"Totaal";"2020";"Putten";9606;2618;6988;771;5627;551;3466;1174;1437;911
"Totaal";"2020";"Raalte";15670;4442;11228;2118;8242;800;5934;1739;2484;1071
"Totaal";"2020";"Ravenstein";;;;;;;;;;
"Totaal";"2020";"Reeuwijk";;;;;;;;;;
"Totaal";"2020";"Reiderland";;;;;;;;;;
"Totaal";"2020";"Reimerswaal";9060;2779;6281;810;4943;497;3013;1104;1164;1000
"Totaal";"2020";"Renkum";14566;5388;9178;1757;6456;923;5484;1497;1602;595
"Totaal";"2020";"Renswoude";2089;530;1559;197;1258;99;710;277;329;243
"Totaal";"2020";"Reusel-De Mierden";5491;1551;3940;707;2918;293;2068;654;821;397
"Totaal";"2020";"Rheden";21128;8644;12484;2417;8498;1502;7268;2269;2178;769
"Totaal";"2020";"Rhenen";8286;2563;5723;820;4383;474;2922;1002;1107;692
"Totaal";"2020";"Ridderkerk";20803;7122;13681;2065;9905;1627;7497;2761;2358;1065
"Totaal";"2020";"Rijnsburg";;;;;;;;;;
"Totaal";"2020";"Rijnwaarden";;;;;;;;;;
"Totaal";"2020";"Rijnwoude";;;;;;;;;;
"Totaal";"2020";"Rijssen";;;;;;;;;;
"Totaal";"2020";"Rijssen-Holten";14326;3656;10670;1040;8858;721;4761;1830;2288;1791
"Totaal";"2020";"Rijswijk (ZH.)";26470;11107;15363;3371;9384;2470;8521;3227;2701;914
"Totaal";"2020";"Roerdalen";9362;2875;6487;1228;4598;628;3890;1228;1076;293
"Totaal";"2020";"Roermond";28005;11322;16683;3903;10470;2206;9388;3276;2950;1069
"Totaal";"2020";"Roggel en Neer";;;;;;;;;;
"Totaal";"2020";"De Ronde Venen";19125;5857;13268;2618;9193;1396;6747;2680;2767;1074
"Totaal";"2020";"Roosendaal";35293;12755;22538;4100;15628;2635;12418;4297;4185;1638
"Totaal";"2020";"Rotterdam";328283;158909;169374;43518;88161;34305;90299;36193;28248;14634
"Totaal";"2020";"Rozenburg";;;;;;;;;;
"Totaal";"2020";"Rozendaal";688;143;545;92;426;27;291;81;131;42
"Totaal";"2020";"Rucphen";9927;2779;7148;1260;5281;571;3848;1599;1274;427
"Totaal";"2020";"Ruurlo";;;;;;;;;;
"Totaal";"2020";"Sas van Gent";;;;;;;;;;
"Totaal";"2020";"Sassenheim";;;;;;;;;;
"Totaal";"2020";"Schagen";20548;6888;13660;2685;9547;1354;7430;2304;2739;1187
"Totaal";"2020";"Scheemda";;;;;;;;;;
"Totaal";"2020";"Schermer";;;;;;;;;;
"Totaal";"2020";"Scherpenzeel";3960;1165;2795;352;2237;198;1348;484;567;396
"Totaal";"2020";"Schiedam";37562;15686;21876;4658;13171;3741;11363;4890;3978;1645
"Totaal";"2020";"Schiermonnikoog";538;278;260;51;187;22;171;45;32;12
"Totaal";"2020";"Schijndel";;;;;;;;;;
"Totaal";"2020";"Schinnen";;;;;;;;;;
"Totaal";"2020";"Schipluiden";;;;;;;;;;
"Totaal";"2020";"Schoonhoven";;;;;;;;;;
"Totaal";"2020";"Schoorl";;;;;;;;;;
"Totaal";"2020";"Schouwen-Duiveland";15518;5233;10285;1540;7848;854;6166;1752;1604;763
"Totaal";"2020";"Sevenum";;;;;;;;;;
"Totaal";"2020";"Simpelveld";4939;1637;3302;553;2412;328;1964;658;533;147
"Totaal";"2020";"Sint Anthonis";4693;1254;3439;681;2531;208;1792;562;688;397
"Totaal";"2020";"Sint-Michielsgestel";11992;3329;8663;1575;6366;687;4361;1478;2010;814
"Totaal";"2020";"Sint-Oedenrode";;;;;;;;;;
"Totaal";"2020";"Sittard";;;;;;;;;;
"Totaal";"2020";"Sittard-Geleen";45137;17898;27239;5631;18080;3355;16192;5360;4457;1230
"Totaal";"2020";"Skarsterlân";;;;;;;;;;
"Totaal";"2020";"Sliedrecht";10430;3516;6914;788;5383;692;3413;1283;1384;834
"Totaal";"2020";"Slochteren";;;;;;;;;;
"Totaal";"2020";"Sluis";11278;4215;7063;1347;5056;626;4354;1286;1046;377
"Totaal";"2020";"Sluis-Aardenburg";;;;;;;;;;
"Totaal";"2020";"Smallingerland";25025;9065;15960;2976;10920;1973;8591;2926;3031;1412
"Totaal";"2020";"Sneek";;;;;;;;;;
"Totaal";"2020";"Soest";20636;7120;13516;2502;9533;1417;7047;2511;2768;1190
"Totaal";"2020";"Someren";8188;2409;5779;1100;4244;405;3035;980;1239;525
"Totaal";"2020";"Son en Breugel";7264;2086;5178;1015;3679;470;2668;888;1208;414
"Totaal";"2020";"Spijkenisse";;;;;;;;;;
"Totaal";"2020";"Stad Delden";;;;;;;;;;
"Totaal";"2020";"Stadskanaal";14594;5180;9414;1625;6746;996;5418;1690;1642;664
"Totaal";"2020";"Staphorst";5962;1458;4504;288;3923;264;1836;716;870;1082
"Totaal";"2020";"Stede Broec";9161;2610;6551;1073;4777;667;3451;1195;1345;560
"Totaal";"2020";"Steenbergen";11255;3973;7282;1418;5191;637;4109;1374;1359;440
"Totaal";"2020";"Steenderen";;;;;;;;;;
"Totaal";"2020";"Steenwijk";;;;;;;;;;
"Totaal";"2020";"Steenwijkerland";19361;6368;12993;2273;9459;1185;7068;2209;2529;1187
"Totaal";"2020";"Stein (L.)";11606;3596;8010;1392;5813;771;4820;1586;1303;301
"Totaal";"2020";"Stichtse Vecht";28236;9145;19091;3997;13000;2008;9690;3749;4134;1518
"Totaal";"2020";"Strijen";;;;;;;;;;
"Totaal";"2020";"Súdwest-Fryslân";39929;13982;25947;5295;17909;2615;14093;4403;4962;2489
"Totaal";"2020";"Susteren";;;;;;;;;;
"Totaal";"2020";"Swalmen";;;;;;;;;;
"Totaal";"2020";"Tegelen";;;;;;;;;;
"Totaal";"2020";"Terneuzen";25688;9446;16242;2776;11604;1787;9526;3050;2662;1004
"Totaal";"2020";"Terschelling";2550;1220;1330;320;869;128;812;231;214;73
"Totaal";"2020";"Texel";6414;2422;3992;784;2812;384;2377;731;604;280
"Totaal";"2020";"Teylingen";15871;4871;11000;2065;7814;1073;5465;2139;2508;888
"Totaal";"2020";"Tholen";10503;3121;7382;1002;5747;602;3755;1273;1438;916
"Totaal";"2020";"Thorn";;;;;;;;;;
"Totaal";"2020";"Tiel";18726;6840;11886;2217;8119;1482;6024;2356;2416;1090
"Totaal";"2020";"Tilburg";108875;49696;59179;15086;35194;8171;32116;11772;11105;4186
"Totaal";"2020";"Tubbergen";8159;2072;6087;950;4714;394;2723;986;1544;834
"Totaal";"2020";"Twenterand";13184;3426;9758;1322;7535;863;4590;1734;2197;1237
"Totaal";"2020";"Tynaarlo";14306;4209;10097;2121;7056;892;5452;1785;2094;766
"Totaal";"2020";"Tytsjerksteradiel";13639;4227;9412;1643;6915;825;5109;1549;1897;857
"Totaal";"2020";"Ubbergen";;;;;;;;;;
"Totaal";"2020";"Uden";18724;6431;12293;2686;8169;1373;6547;2172;2601;973
"Totaal";"2020";"Uitgeest";5701;1597;4104;827;2840;424;1979;807;1016;302
"Totaal";"2020";"Uithoorn";12792;4193;8599;1647;5763;1143;4105;1950;1930;614
"Totaal";"2020";"Urk";6346;1266;5080;96;4670;271;1563;805;991;1721
"Totaal";"2020";"Utrecht (gemeente)";181670;92312;89358;31967;45536;10215;45591;16779;18323;8665
"Totaal";"2020";"Utrechtse Heuvelrug";21590;7650;13940;2469;10132;1271;7482;2357;2773;1328
"Totaal";"2020";"Vaals";5488;2653;2835;486;2026;306;1860;493;383;99
"Totaal";"2020";"Valburg";;;;;;;;;;
"Totaal";"2020";"Valkenburg (ZH.)";;;;;;;;;;
"Totaal";"2020";"Valkenburg aan de Geul";7894;2998;4896;967;3448;452;2953;961;784;198
"Totaal";"2020";"Valkenswaard";14493;5036;9457;1843;6561;1003;5519;1652;1752;534
"Totaal";"2020";"Veendam";12654;4415;8239;1589;5567;1044;4673;1570;1514;482
"Totaal";"2020";"Veenendaal";28021;9156;18865;2601;14201;1937;9405;3398;3836;2226
"Totaal";"2020";"Veere";9450;2903;6547;837;5302;390;3736;1046;1146;619
"Totaal";"2020";"Veghel";;;;;;;;;;
"Totaal";"2020";"Veldhoven";20019;6420;13599;2447;9743;1353;7284;2528;2939;848
"Totaal";"2020";"Velsen";31058;11109;19949;4062;13186;2588;10295;4197;4116;1341
"Totaal";"2020";"Venhuizen";;;;;;;;;;
"Totaal";"2020";"Venlo";47964;18466;29498;5927;19838;3514;16489;5652;5337;2020
"Totaal";"2020";"Venray";19000;6211;12789;2443;9029;1249;6880;2243;2626;1040
"Totaal";"2020";"Vianen";;;;;;;;;;
"Totaal";"2020";"Vijfheerenlanden";23339;6793;16546;2698;12121;1619;8271;3131;3394;1750
"Totaal";"2020";"Vlaardingen";34717;13897;20820;3750;13485;3425;11344;4231;3817;1428
"Totaal";"2020";"Vlagtwedde";;;;;;;;;;
"Totaal";"2020";"Vleuten-De Meern";;;;;;;;;;
"Totaal";"2020";"Vlieland";643;337;306;73;202;26;198;50;40;18
"Totaal";"2020";"Vlissingen";22342;9890;12452;2295;8272;1802;7329;2325;2055;743
"Totaal";"2020";"Vlist";;;;;;;;;;
"Totaal";"2020";"Voerendaal";5605;1625;3980;670;2903;385;2346;727;696;211
"Totaal";"2020";"Voorburg";;;;;;;;;;
"Totaal";"2020";"Voorhout";;;;;;;;;;
"Totaal";"2020";"Voorschoten";11225;3776;7449;1381;5167;859;3852;1358;1637;602
"Totaal";"2020";"Voorst";10149;2795;7354;1363;5427;513;4029;1191;1479;655
"Totaal";"2020";"Vorden";;;;;;;;;;
"Totaal";"2020";"Vriezenveen";;;;;;;;;;
"Totaal";"2020";"Vught";11272;3790;7482;1581;5073;804;3811;1361;1678;632
"Totaal";"2020";"Waadhoeke";20299;6793;13506;2651;9464;1332;7430;2324;2559;1193
"Totaal";"2020";"Waalre";7579;2322;5257;991;3740;502;2761;953;1136;407
"Totaal";"2020";"Waalwijk";21824;7350;14474;2820;10018;1545;7843;2750;2886;995
"Totaal";"2020";"Waddinxveen";12186;3499;8687;1445;6449;743;4423;1648;1730;886
"Totaal";"2020";"Wageningen";22676;13717;8959;2219;5640;968;5060;1600;1641;658
"Totaal";"2020";"Warmond";;;;;;;;;;
"Totaal";"2020";"Warnsveld";;;;;;;;;;
"Totaal";"2020";"Wassenaar";11529;4050;7479;1132;5439;886;3767;1433;1604;675
"Totaal";"2020";"Wateringen";;;;;;;;;;
"Totaal";"2020";"Waterland";7558;2334;5224;956;3740;505;2722;969;1151;382
"Totaal";"2020";"Weerselo";;;;;;;;;;
"Totaal";"2020";"Weert";22729;8103;14626;2916;10128;1491;8091;2655;2885;995
"Totaal";"2020";"Weesp";9174;3600;5574;1266;3633;627;2928;1095;1136;415
"Totaal";"2020";"Wehl";;;;;;;;;;
"Totaal";"2020";"Werkendam";;;;;;;;;;
"Totaal";"2020";"Wervershoof";;;;;;;;;;
"Totaal";"2020";"West Betuwe";20513;5302;15211;2555;11347;1243;7646;2799;3161;1605
"Totaal";"2020";"West Maas en Waal";8303;2403;5900;1204;4203;458;3185;1091;1203;421
"Totaal";"2020";"Wester-Koggenland";;;;;;;;;;
"Totaal";"2020";"Westerkwartier";26371;7648;18723;3503;13458;1673;9575;3401;3964;1783
"Totaal";"2020";"Westerveld";8728;2832;5896;1039;4412;426;3511;941;1042;402
"Totaal";"2020";"Westervoort";6697;2033;4664;874;3168;605;2589;998;827;250
"Totaal";"2020";"Westerwolde";11205;3648;7557;1346;5465;703;4552;1325;1190;490
"Totaal";"2020";"Westland";46574;14385;32189;5892;23174;2956;15804;6129;7357;2899
"Totaal";"2020";"Weststellingwerf";11356;3638;7718;1502;5438;739;4307;1329;1429;653
"Totaal";"2020";"Westvoorne";6668;2082;4586;746;3443;388;2639;866;809;272
"Totaal";"2020";"Wierden";9633;2430;7203;988;5642;530;3484;1185;1648;886
"Totaal";"2020";"Wieringen";;;;;;;;;;
"Totaal";"2020";"Wieringermeer";;;;;;;;;;
"Totaal";"2020";"Wijchen";17729;5390;12339;2331;8689;1260;6481;2291;2655;912
"Totaal";"2020";"Wijdemeren";10667;3384;7283;1561;4987;702;3818;1405;1545;515
"Totaal";"2020";"Wijhe";;;;;;;;;;
"Totaal";"2020";"Wijk bij Duurstede";10096;2813;7283;1336;5211;700;3819;1363;1533;568
"Totaal";"2020";"Winschoten";;;;;;;;;;
"Totaal";"2020";"Winsum";;;;;;;;;;
"Totaal";"2020";"Winterswijk";12772;4310;8462;1592;6000;827;4620;1502;1663;677
"Totaal";"2020";"Wisch";;;;;;;;;;
"Totaal";"2020";"Woensdrecht";9622;2782;6840;1166;5033;617;3867;1313;1303;357
"Totaal";"2020";"Woerden";21873;6805;15068;3047;10458;1484;7362;2790;3329;1587
"Totaal";"2020";"Wognum";;;;;;;;;;
"Totaal";"2020";"De Wolden";10201;2861;7340;1311;5460;544;4007;1171;1461;701
"Totaal";"2020";"Wormerland";7107;2230;4877;905;3404;547;2532;961;1027;357
"Totaal";"2020";"Woudenberg";5135;1372;3763;447;2996;300;1799;634;781;549
"Totaal";"2020";"Woudrichem";;;;;;;;;;
"Totaal";"2020";"Wûnseradiel";;;;;;;;;;
"Totaal";"2020";"Wymbritseradiel";;;;;;;;;;
"Totaal";"2020";"Zaanstad";70358;25391;44967;9309;28236;7071;22475;9696;9381;3415
"Totaal";"2020";"Zaltbommel";11862;3628;8234;1240;6145;804;4060;1515;1628;1031
"Totaal";"2020";"Zandvoort";8555;3721;4834;1136;2898;771;2798;995;810;231
"Totaal";"2020";"Zederik";;;;;;;;;;
"Totaal";"2020";"Zeevang";;;;;;;;;;
"Totaal";"2020";"Zeewolde";9668;3110;6558;1112;4754;662;3143;1334;1434;647
"Totaal";"2020";"Zeist";29324;11977;17347;3600;11504;2118;8856;3110;3605;1776
"Totaal";"2020";"Zelhem";;;;;;;;;;
"Totaal";"2020";"Zevenaar";19850;6537;13313;2620;9191;1436;7526;2401;2625;761
"Totaal";"2020";"Zevenhuizen-Moerkapelle";;;;;;;;;;
"Totaal";"2020";"Zijpe";;;;;;;;;;
"Totaal";"2020";"Zoetermeer";56027;19243;36784;6992;23750;5785;18975;7629;7334;2846
"Totaal";"2020";"Zoeterwoude";3479;963;2516;457;1821;228;1279;485;561;191
"Totaal";"2020";"Zuidhorn";;;;;;;;;;
"Totaal";"2020";"Zuidplas";17847;4788;13059;2157;9528;1312;6306;2690;2900;1163
"Totaal";"2020";"Zundert";9501;2926;6575;1339;4711;490;3633;1172;1304;466
"Totaal";"2020";"Zutphen";22046;8587;13459;2720;8835;1833;7425;2516;2494;1024
"Totaal";"2020";"Zwartewaterland";8565;2174;6391;557;5359;447;2948;1098;1293;1052
"Totaal";"2020";"Zwartsluis";;;;;;;;;;
"Totaal";"2020";"Zwijndrecht";20162;6926;13236;2080;9218;1866;7211;2655;2383;987
"Totaal";"2020";"Zwolle";60093;24770;35323;8617;22180;4260;18452;6419;7316;3136
